T05,Proportion of seats held by women in national parliament,,,,,,,
Region/Country/Area,,Year,Series,Last Election Date,Last Election Date footnote,Value,Footnotes,Source
756,Switzerland,2023,"Seats held by women in national parliament, as of February (%)",2023-10,,41.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
756,Switzerland,2024,"Seats held by women in national parliament, as of February (%)",2023-10,,38.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
760,Syrian Arab Republic,2000,"Seats held by women in national parliament, as of February (%)",2020-07,,10.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
760,Syrian Arab Republic,2005,"Seats held by women in national parliament, as of February (%)",2020-07,,12.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
760,Syrian Arab Republic,2010,"Seats held by women in national parliament, as of February (%)",2020-07,,12.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
760,Syrian Arab Republic,2015,"Seats held by women in national parliament, as of February (%)",2020-07,,12.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
760,Syrian Arab Republic,2020,"Seats held by women in national parliament, as of February (%)",2020-07,,12.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
760,Syrian Arab Republic,2021,"Seats held by women in national parliament, as of February (%)",2020-07,,11.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
760,Syrian Arab Republic,2022,"Seats held by women in national parliament, as of February (%)",2020-07,,11.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
760,Syrian Arab Republic,2023,"Seats held by women in national parliament, as of February (%)",2020-07,,10.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
760,Syrian Arab Republic,2024,"Seats held by women in national parliament, as of February (%)",2020-07,,10.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
762,Tajikistan,2000,"Seats held by women in national parliament, as of February (%)",2020-03,,2.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
762,Tajikistan,2005,"Seats held by women in national parliament, as of February (%)",2020-03,,12.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
762,Tajikistan,2010,"Seats held by women in national parliament, as of February (%)",2020-03,,17.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
762,Tajikistan,2015,"Seats held by women in national parliament, as of February (%)",2020-03,,16.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
762,Tajikistan,2020,"Seats held by women in national parliament, as of February (%)",2020-03,,19.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
762,Tajikistan,2021,"Seats held by women in national parliament, as of February (%)",2020-03,,23.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
762,Tajikistan,2022,"Seats held by women in national parliament, as of February (%)",2020-03,,27.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
762,Tajikistan,2023,"Seats held by women in national parliament, as of February (%)",2020-03,,27.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
762,Tajikistan,2024,"Seats held by women in national parliament, as of February (%)",2020-03,,27.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
764,Thailand,2000,"Seats held by women in national parliament, as of February (%)",2023-05,,5.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
764,Thailand,2005,"Seats held by women in national parliament, as of February (%)",2023-05,,8.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
764,Thailand,2010,"Seats held by women in national parliament, as of February (%)",2023-05,,13.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
764,Thailand,2015,"Seats held by women in national parliament, as of February (%)",2023-05,,6.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
764,Thailand,2020,"Seats held by women in national parliament, as of February (%)",2023-05,,16.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
764,Thailand,2021,"Seats held by women in national parliament, as of February (%)",2023-05,,15.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
764,Thailand,2022,"Seats held by women in national parliament, as of February (%)",2023-05,,15.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
764,Thailand,2023,"Seats held by women in national parliament, as of February (%)",2023-05,,16.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
764,Thailand,2024,"Seats held by women in national parliament, as of February (%)",2023-05,,19.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
626,Timor-Leste,2005,"Seats held by women in national parliament, as of February (%)",2023-05,,25.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
626,Timor-Leste,2010,"Seats held by women in national parliament, as of February (%)",2023-05,,29.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
626,Timor-Leste,2015,"Seats held by women in national parliament, as of February (%)",2023-05,,38.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
626,Timor-Leste,2020,"Seats held by women in national parliament, as of February (%)",2023-05,,38.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
626,Timor-Leste,2021,"Seats held by women in national parliament, as of February (%)",2023-05,,38.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
626,Timor-Leste,2022,"Seats held by women in national parliament, as of February (%)",2023-05,,40.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
626,Timor-Leste,2023,"Seats held by women in national parliament, as of February (%)",2023-05,,40.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
626,Timor-Leste,2024,"Seats held by women in national parliament, as of February (%)",2023-05,,38.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
768,Togo,2000,"Seats held by women in national parliament, as of February (%)",2018-12,,4.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
768,Togo,2005,"Seats held by women in national parliament, as of February (%)",2018-12,,6.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
768,Togo,2010,"Seats held by women in national parliament, as of February (%)",2018-12,,11.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
768,Togo,2015,"Seats held by women in national parliament, as of February (%)",2018-12,,17.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
768,Togo,2020,"Seats held by women in national parliament, as of February (%)",2018-12,,18.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
768,Togo,2021,"Seats held by women in national parliament, as of February (%)",2018-12,,18.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
768,Togo,2022,"Seats held by women in national parliament, as of February (%)",2018-12,,18.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
768,Togo,2023,"Seats held by women in national parliament, as of February (%)",2018-12,,19.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
768,Togo,2024,"Seats held by women in national parliament, as of February (%)",2018-12,,18.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
776,Tonga,2000,"Seats held by women in national parliament, as of February (%)",2021-11,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
776,Tonga,2005,"Seats held by women in national parliament, as of February (%)",2021-11,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
776,Tonga,2010,"Seats held by women in national parliament, as of February (%)",2021-11,,3.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
776,Tonga,2015,"Seats held by women in national parliament, as of February (%)",2021-11,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
776,Tonga,2020,"Seats held by women in national parliament, as of February (%)",2021-11,,7.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
776,Tonga,2021,"Seats held by women in national parliament, as of February (%)",2021-11,,7.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
776,Tonga,2022,"Seats held by women in national parliament, as of February (%)",2021-11,,3.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
776,Tonga,2023,"Seats held by women in national parliament, as of February (%)",2021-11,,7.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
776,Tonga,2024,"Seats held by women in national parliament, as of February (%)",2021-11,,7.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
780,Trinidad and Tobago,2000,"Seats held by women in national parliament, as of February (%)",2020-08,,11.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
780,Trinidad and Tobago,2005,"Seats held by women in national parliament, as of February (%)",2020-08,,19.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
780,Trinidad and Tobago,2010,"Seats held by women in national parliament, as of February (%)",2020-08,,26.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
780,Trinidad and Tobago,2015,"Seats held by women in national parliament, as of February (%)",2020-08,,28.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
780,Trinidad and Tobago,2020,"Seats held by women in national parliament, as of February (%)",2020-08,,31.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
780,Trinidad and Tobago,2021,"Seats held by women in national parliament, as of February (%)",2020-08,,26.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
780,Trinidad and Tobago,2022,"Seats held by women in national parliament, as of February (%)",2020-08,,26.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
780,Trinidad and Tobago,2023,"Seats held by women in national parliament, as of February (%)",2020-08,,28.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
780,Trinidad and Tobago,2024,"Seats held by women in national parliament, as of February (%)",2020-08,,28.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
788,Tunisia,2000,"Seats held by women in national parliament, as of February (%)",2022-12,,11.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
788,Tunisia,2005,"Seats held by women in national parliament, as of February (%)",2022-12,,22.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
788,Tunisia,2010,"Seats held by women in national parliament, as of February (%)",2022-12,,27.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
788,Tunisia,2015,"Seats held by women in national parliament, as of February (%)",2022-12,,31.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
788,Tunisia,2020,"Seats held by women in national parliament, as of February (%)",2022-12,,24.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
788,Tunisia,2021,"Seats held by women in national parliament, as of February (%)",2022-12,,26.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
788,Tunisia,2022,"Seats held by women in national parliament, as of February (%)",2022-12,,26.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
788,Tunisia,2024,"Seats held by women in national parliament, as of February (%)",2022-12,,15.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
792,Türkiye,2000,"Seats held by women in national parliament, as of February (%)",2023-05,,4.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
792,Türkiye,2005,"Seats held by women in national parliament, as of February (%)",2023-05,,4.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
792,Türkiye,2010,"Seats held by women in national parliament, as of February (%)",2023-05,,9.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
792,Türkiye,2015,"Seats held by women in national parliament, as of February (%)",2023-05,,14.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
792,Türkiye,2020,"Seats held by women in national parliament, as of February (%)",2023-05,,17.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
792,Türkiye,2021,"Seats held by women in national parliament, as of February (%)",2023-05,,17.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
792,Türkiye,2022,"Seats held by women in national parliament, as of February (%)",2023-05,,17.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
792,Türkiye,2023,"Seats held by women in national parliament, as of February (%)",2023-05,,17.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
792,Türkiye,2024,"Seats held by women in national parliament, as of February (%)",2023-05,,19.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
795,Turkmenistan,2000,"Seats held by women in national parliament, as of February (%)",2023-03,,26.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
795,Turkmenistan,2010,"Seats held by women in national parliament, as of February (%)",2023-03,,16.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
795,Turkmenistan,2015,"Seats held by women in national parliament, as of February (%)",2023-03,,25.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
795,Turkmenistan,2020,"Seats held by women in national parliament, as of February (%)",2023-03,,25.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
795,Turkmenistan,2021,"Seats held by women in national parliament, as of February (%)",2023-03,,25.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
795,Turkmenistan,2022,"Seats held by women in national parliament, as of February (%)",2023-03,,25.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
795,Turkmenistan,2023,"Seats held by women in national parliament, as of February (%)",2023-03,,25.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
795,Turkmenistan,2024,"Seats held by women in national parliament, as of February (%)",2023-03,,25.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
798,Tuvalu,2000,"Seats held by women in national parliament, as of February (%)",2019-09,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
798,Tuvalu,2005,"Seats held by women in national parliament, as of February (%)",2019-09,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
798,Tuvalu,2010,"Seats held by women in national parliament, as of February (%)",2019-09,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
798,Tuvalu,2015,"Seats held by women in national parliament, as of February (%)",2019-09,,6.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
798,Tuvalu,2020,"Seats held by women in national parliament, as of February (%)",2019-09,,6.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
798,Tuvalu,2021,"Seats held by women in national parliament, as of February (%)",2019-09,,6.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
798,Tuvalu,2022,"Seats held by women in national parliament, as of February (%)",2019-09,,6.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
798,Tuvalu,2023,"Seats held by women in national parliament, as of February (%)",2019-09,,6.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
798,Tuvalu,2024,"Seats held by women in national parliament, as of February (%)",2019-09,,6.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
800,Uganda,2000,"Seats held by women in national parliament, as of February (%)",2021-01,,17.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
800,Uganda,2005,"Seats held by women in national parliament, as of February (%)",2021-01,,23.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
800,Uganda,2010,"Seats held by women in national parliament, as of February (%)",2021-01,,31.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
800,Uganda,2015,"Seats held by women in national parliament, as of February (%)",2021-01,,35.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
800,Uganda,2020,"Seats held by women in national parliament, as of February (%)",2021-01,,34.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
800,Uganda,2021,"Seats held by women in national parliament, as of February (%)",2021-01,,34.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
800,Uganda,2022,"Seats held by women in national parliament, as of February (%)",2021-01,,33.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
800,Uganda,2023,"Seats held by women in national parliament, as of February (%)",2021-01,,33.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
800,Uganda,2024,"Seats held by women in national parliament, as of February (%)",2021-01,,33.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
804,Ukraine,2000,"Seats held by women in national parliament, as of February (%)",2019-07,,7.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
804,Ukraine,2005,"Seats held by women in national parliament, as of February (%)",2019-07,,5.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
804,Ukraine,2010,"Seats held by women in national parliament, as of February (%)",2019-07,,8.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
804,Ukraine,2015,"Seats held by women in national parliament, as of February (%)",2019-07,,11.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
804,Ukraine,2020,"Seats held by women in national parliament, as of February (%)",2019-07,,20.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
804,Ukraine,2021,"Seats held by women in national parliament, as of February (%)",2019-07,,20.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
804,Ukraine,2022,"Seats held by women in national parliament, as of February (%)",2019-07,,20.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
804,Ukraine,2023,"Seats held by women in national parliament, as of February (%)",2019-07,,20.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
804,Ukraine,2024,"Seats held by women in national parliament, as of February (%)",2019-07,,21.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
784,United Arab Emirates,2000,"Seats held by women in national parliament, as of February (%)",2023-10,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
784,United Arab Emirates,2005,"Seats held by women in national parliament, as of February (%)",2023-10,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
784,United Arab Emirates,2010,"Seats held by women in national parliament, as of February (%)",2023-10,,22.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
784,United Arab Emirates,2015,"Seats held by women in national parliament, as of February (%)",2023-10,,17.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
784,United Arab Emirates,2020,"Seats held by women in national parliament, as of February (%)",2023-10,,50.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
784,United Arab Emirates,2021,"Seats held by women in national parliament, as of February (%)",2023-10,,50.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
784,United Arab Emirates,2022,"Seats held by women in national parliament, as of February (%)",2023-10,,50.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
784,United Arab Emirates,2023,"Seats held by women in national parliament, as of February (%)",2023-10,,50.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
784,United Arab Emirates,2024,"Seats held by women in national parliament, as of February (%)",2023-10,,50.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
826,United Kingdom,2000,"Seats held by women in national parliament, as of February (%)",2019-12,,18.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
826,United Kingdom,2005,"Seats held by women in national parliament, as of February (%)",2019-12,,18.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
826,United Kingdom,2010,"Seats held by women in national parliament, as of February (%)",2019-12,,19.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
826,United Kingdom,2015,"Seats held by women in national parliament, as of February (%)",2019-12,,22.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
826,United Kingdom,2020,"Seats held by women in national parliament, as of February (%)",2019-12,,33.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
826,United Kingdom,2021,"Seats held by women in national parliament, as of February (%)",2019-12,,33.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
826,United Kingdom,2022,"Seats held by women in national parliament, as of February (%)",2019-12,,34.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
826,United Kingdom,2023,"Seats held by women in national parliament, as of February (%)",2019-12,,34.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
826,United Kingdom,2024,"Seats held by women in national parliament, as of February (%)",2019-12,,34.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
834,United Rep. of Tanzania,2000,"Seats held by women in national parliament, as of February (%)",2020-10,,22.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
834,United Rep. of Tanzania,2005,"Seats held by women in national parliament, as of February (%)",2020-10,,21.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
834,United Rep. of Tanzania,2010,"Seats held by women in national parliament, as of February (%)",2020-10,,30.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
834,United Rep. of Tanzania,2015,"Seats held by women in national parliament, as of February (%)",2020-10,,36.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
834,United Rep. of Tanzania,2020,"Seats held by women in national parliament, as of February (%)",2020-10,,36.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
